"Response","grp","vcov","sdcor"
"tolerance","siteID",0.0159281286549565,0.126206690214729
"tolerance","year",0.00296368179080767,0.0544397078501315
"tolerance","Residual",0.0773914848698251,0.278193250942263
"infection","siteID",2.68213199781531,1.63772158739369
"infection","year",0.647458988794355,0.804648363444775
"resistance","siteID",0.0131484664641299,0.114666762682697
"resistance","year",0.0163537435136747,0.127881755984482
"resistance","Residual",0.0773642241037865,0.278144250531602
"ticks","siteID",0.546258307213035,0.739092894846808
"ticks","year",0.0166721916655412,0.129120841329126
"captime_shift","siteID",0.00155907185020308,0.0394850838950999
"captime_shift","year",0.000132454927539192,0.0115089064441063
"captime_shift","Residual",0.0483124117180076,0.219800845580738
"captime","siteID",0.00396789871625264,0.0629912590464156
"captime","year",0.000336992088923897,0.0183573442775336
"captime","Residual",0.0631634133484535,0.251323324322383
"weight","plotID",0.615036953904353,0.784242917662858
"weight","year",0.128816166951717,0.358909691916667
"weight","Residual",17.3624453221897,4.16682676892017
"maturity","plotID",0.229152632859955,0.478698895820697
"maturity","year",0.0303015473105547,0.174073396331992
